Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
good,0.751063,335.128020,1431.672476,2553.029463,3512.882000
good,0.757313,351.217835,1471.312435,2238.836863,3660.716904
good,0.763563,357.513774,1477.456335,2518.261130,3467.110255
good,0.769813,414.188078,1489.143431,3154.400519,3819.331120
good,0.776063,393.292891,1486.417713,3171.543354,3859.703392
good,0.782313,405.965254,1467.746443,2112.351679,3409.855232
good,0.788563,397.943574,1450.589193,2231.278666,3252.942271
good,0.794813,360.189742,1450.202420,3209.205638,3761.743309
good,0.801063,862.755531,1470.294572,3119.706939,3820.745499
good,0.807313,975.478804,1459.513405,3082.846669,3856.321760
good,0.813563,1046.681152,1440.815933,3108.437389,3878.074588
good,0.819813,1057.768751,1451.759186,3065.185982,3869.946198
good,0.826063,869.325379,1451.806464,3050.226925,3893.389640
good,0.832313,619.255298,1474.091161,3050.721017,3872.920917
good,0.838563,348.267027,1440.488469,2150.104123,3116.229979
good,0.844813,375.684795,1393.849072,2198.100164,3169.569114
good,0.851063,397.046667,1384.814686,2257.558732,3485.054815
good,0.857313,386.541948,1376.266018,2228.500708,3629.186083
good,0.863563,378.791953,1360.326468,2323.333983,3567.597416
good,0.869813,372.007379,1365.621666,2471.902911,3636.367494
good,0.876063,366.565284,1396.557489,2663.287767,3587.943778
good,0.882313,342.447727,1418.277053,2763.698391,3909.843117
good,0.888563,293.715844,1397.394849,2753.428577,3880.010267
good,0.894813,238.414777,1504.059906,2904.865657,3882.322893
good,0.901063,215.091220,1444.361346,2421.043858,3696.298041
good,0.907313,314.669357,1491.545750,2278.042176,3740.104313
good,0.913563,222.510055,1594.735938,2113.931757,3683.366321
good,0.919813,262.348407,1472.899225,2290.064293,3739.564212
good,0.926063,264.436500,1481.423804,2217.432662,3786.756715
good,0.932313,208.706270,1409.623450,2214.280527,3717.391949
good,0.938563,222.498775,1435.113221,2304.335550,3667.516325
good,0.944813,107.557584,1532.781162,2193.672313,3542.752002
good,0.951063,1657.444031,2366.750894,3388.820112,4673.793275
good,0.957313,1566.254051,2445.707641,3467.692464,4628.483662
good,0.963563,1557.792018,2461.355366,3663.988744,4778.024947
good,0.969813,119.517764,1422.608503,2407.285623,3652.637435
good,0.976063,1274.468988,2334.056718,3343.160987,4712.140255
good,0.982313,1373.947682,2307.035185,3347.792550,4742.667256
good,0.988563,1331.776257,2451.249127,3405.682761,4758.560976
good,0.994813,1079.630425,2508.362513,3365.004253,4686.222591
good,1.001063,968.377243,2361.494661,3220.305112,4687.027191
pants,1.007313,1007.657369,2190.104178,3309.702056,4581.427382
pants,1.013563,999.639758,1926.573775,2978.048695,4479.762432
pants,1.019813,1538.278404,2578.167323,3360.663967,4663.709883
pants,1.026063,1076.539338,2195.246879,3084.699196,4549.098583
pants,1.032313,1763.083904,2648.847756,3412.285869,4765.293816
pants,1.038563,1810.929238,2188.525622,3168.806301,4707.399645
pants,1.044813,871.790231,2227.336495,3180.522555,4660.312535
pants,1.051063,1244.861359,2196.238134,3192.259465,4621.101489
pants,1.057313,1561.443030,2308.813412,3272.378904,4503.182417
pants,1.063563,1642.536308,2513.699639,3340.685577,4275.937547
pants,1.069813,1665.774812,2405.533069,3529.300822,4328.778338
pants,1.076063,1545.006558,2299.692006,3469.513857,4187.518157
pants,1.082313,523.192660,1538.760062,2244.138131,3780.766467
pants,1.088563,552.848005,1548.998499,2151.146879,3673.567231
pants,1.094813,540.615311,1540.112670,2212.661866,3690.509463
pants,1.101063,528.101818,1548.880400,2287.319440,3767.093363
pants,1.107313,521.135308,1557.486805,2265.522496,3671.286183
pants,1.113563,533.837555,1576.197598,2259.196915,3674.213159
pants,1.119813,533.320116,1575.137628,2246.963050,3649.716388
pants,1.126063,544.853590,1576.839701,2254.410963,3622.434603
pants,1.132313,552.951014,1584.714638,2294.414990,3665.071878
pants,1.138563,564.814405,1571.615229,2321.695820,3661.052982
pants,1.144813,572.688732,1545.208648,2344.502030,3658.486475
pants,1.151063,576.572032,1528.618245,2344.806025,3652.245825
pants,1.157313,580.369864,1540.491258,2336.539872,3669.271901
pants,1.163563,573.798977,1546.117765,2323.958321,3677.372581
pants,1.169813,572.954003,1543.941293,2280.269398,3669.963346
pants,1.176063,575.499669,1556.974949,2259.662798,3667.037556
pants,1.182313,569.154075,1565.783483,2282.591085,3653.476149
pants,1.188563,571.117517,1570.796838,2313.354184,3658.324944
pants,1.194813,557.874925,1569.914666,2298.506802,3654.808085
pants,1.201063,557.142973,1570.146681,2286.841470,3659.409758
pants,1.207313,543.212195,1578.667612,2295.470645,3663.293624
pants,1.213563,536.775351,1579.730392,2304.818618,3680.063786
pants,1.219813,515.195900,1574.177052,2311.983155,3724.699296
pants,1.226063,494.503603,1570.287995,2325.915316,3749.427334
pants,1.232313,443.412782,1565.768730,2329.381487,3752.454748
pants,1.238563,370.424617,1551.308484,2330.760324,3768.278172
pants,1.244813,313.635711,1496.663733,2396.817119,3760.013613
pants,1.251063,304.981340,1380.417773,2400.194004,3774.869564
pants,1.257313,286.644501,1483.833012,2403.864962,3985.397705
pants,1.263563,267.320856,1490.049702,2410.259151,4019.144692
pants,1.269813,286.704484,1457.106057,2434.895374,4218.004806
pants,1.276063,208.943615,1394.705191,2421.990094,4327.180589
pants,1.282313,235.054001,1413.809896,2423.588392,4037.819023
pants,1.288563,295.575594,1362.618007,2320.919205,3768.786634
pants,1.294813,891.958547,1957.689279,3248.553680,4233.522300
pants,1.301063,696.414738,1423.867837,2908.851987,4326.443151
